*7650
0000+49   BD 49 4329  
SN 2003ED   1343+38         SN NGC 5303
SN 2003G    0203+05         SN IC 208
SN 2003GD   0131+15B        SN NGC 628 II (M74)
SN 2003GF   2208-22         SN MCG-04-52-26
SN? 108     1105+56         NGC 3556 1975 (NOT SN)
SS 433      1906+04
SS AND      2307+52
SS AQR      2214-14
SS AUR      0605+47
SS CAS      0004+51
SS CEP      0333+80
SS CET      0243+01
SS CMA      0722-25
SS CRB      1537+36
SS CRU      1204-56
SS CYG      2138+43
SS DEL      2035+13
SS DOR      0403-55
SS DRA      1221+69
SS ERI      0307-12
SS GEM      0602+22
SS HER      1628+07A
SS HYA      1325-23
SS IND      2200-67
SS LEP      0600-16
SS LIB      1543-15
SS LMI      1028+31
SS LYR      1910+46
SS NOR      1604-59
SS OPH      1652-02
SS PEG      2229+24
SS PUP      0742-26
SS SCO      1648-32
SS SCT      1838-07
SS SER      1718-14
SS SGE      1934+16
SS SGR      1824-16
SS TEL      1823-56
SS UMI      1552+72
SS VEL      1048-52
SS VIR      1220+01
ST AND      2333+35
ST APS      1425-71
ST AQL      1944+12
ST ARI      0304+13
ST AUR      0607+46A
ST CAM      0440+68
ST CAP      2005-13
ST CAS      0012+49
ST CEP      2226+56
ST CHA      1045-78
ST CIR      1353-69
ST CNC      0803+14
ST CRB      1546+38
ST CRU      1220-59
ST CYG      2029+54
ST DEL      2040+11
ST DOR      0426-54
ST DRA      1633+57
ST FOR      0240-29
ST GEM      0732+34
ST HER      1547+48
ST HYA      0933-20
ST LMI      1100+25
ST LYR      1906+43
ST MON      0641+08
ST PEG      2244+26
ST PER      0253+38
ST PSA      2248-34
ST PSC      0122+16
ST PUP      0645-37
ST RET      0416-60
ST SCO      1630-31
ST SGE      2007+20A
ST SGR      1855-12A
ST TAU      0539+13
ST UMA      1122+45
ST VUL      1956+22
STAR A      2023+43B
STAR A NE   1608+25E
STAR A NW   0710+39H
STAR A NW   0724-04B
STAR A SE   0549+32B
STAR A W    0506-05B
STAR B      1920-10B
STAR B E    2131+39B
STAR B NE   0259+19B
STAR B SE   0549+32C
STAR C      0803+14D
STAR C NE   0419+16C
STAR E      0530-05         STAR "E" IN TRAPEZIUM
STAR E      0829+53C
STAR E E    0259+19C
STAR ENE    2012+07B
STAR F SE   0259+19D
STAR N      1602-21D
STAR NE     0616+47C
STAR NE     1115-61B
STAR NE     1740+21B
STAR NE     1940+48C
STAR NE     2152+47E
STAR NW     0001+69B
STAR NW     0159+56B
STAR NW     0613-17C
STAR NW     0616+47B
STAR NW     1602-21E
STAR NW     1754+23D
STAR NW     1944+36C
STAR NW     2006+41B
STAR NW     2014+37E
STAR NW     2319+55B
STAR S      2131+40B
STAR SE     1439+22C
STAR SE     1537+38C
STAR SE     1952-02B
STAR SW     0026+14B
STAR SW     0109+40B
STAR SW     1558-23B
STAR SW     1805+18F
STAR SW     1811+36G
STAR SW     1901+08G
STAR SW     2011+36B
STAR SW     2050+17C
STAR SW     2238+41B
STAR W      1841+37E
STAR W      1934+31C
STHA 164    1923-06
SU AND      2359+43
SU ARI      0242+16
SU AUR      0449+30A
SU CAM      0625+74
SU CAR      1010-60
SU CAS      0243+68
SU CNC      0807+14
SU CRU      1212-62
SU CVN      1201+44
SU CYG      1940+29
SU DOR      0445-55
SU ERI      0346-01
SU GEM      0607+27
SU HER      1744+22
SU LAC      2219+55B
SU LMI      0928+36
SU LYR      1850+36
SU MON      0737-10
SU PAV      2009-60
SU PEG      2332+32
SU PER      0215+56B
SU PUP      0753-43
SU RET      0432-63B
SU SGR      1857-22
SU TAU      0543+19
SU UMA      0803+62
SU VEL      0946-41
SU VIR      1200+12
SUS RIP NW  0829+53E
SUSP ARA    1720-63B
SUSP ARA    1731-63C
SUSP CIF    0027+25F
SUSP KIS    2108+68D
SUSP RIP    0139+37B
SUSP ROD    2328+48D
SUSP VET    1841+37B
SV AND      2359+39
SV APS      1429-72
SV AQL      1934+11A
SV AQR      2317-11
SV ARI      0319+19
SV AUR      0556+46B
SV CAS      2334+51
SV CEP      2219+73
SV CMA      0657-18
SV CMI      0725+06
SV CRB      1620+36
SV CRV      1244-14
SV CYG      2006+47
SV DRA      1831+49A
SV HER      1822+24
SV LYN      0757+36
SV LYR      1842+36
SV MON      0616+06
SV OPH      1751+03
SV PEG      2201+34A
SV PER      0442+42
SV PSC      0141+18
SV PUP      0812-13
SV RET      0351-55
SV SCO      1741-35
SV SGE      1903+17
SV SGR      1757-24
SV UMA      1040+55
SV VEL      1040-55
SV VIR      1155-09
SV VUL      1947+27
SVS 101918  1953-59         NU PAV (N-U, NOT GREEK NU)
SVS 3975    1811-46B
SVS 4745    1931+29B        NSV 12197
SW AQL      1946+12A
SW BOO      1423+36
SW CAM      0752+73
SW CAS      2302+58
SW CEP      2123+62
SW CET      0133+00
SW COL      0520-39
SW COM      1204+20
SW CRB      1537+39
SW DEL      2055+13
SW ERI      0348-09
SW GEM      0653+26
SW HOR      0235-54
SW HYA      1257-29
SW LAC      2249+37
SW LYR      1851+29
SW MIC      2024-40
SW MON      0621+05
SW PEG      2117+21
SW PER      0404+41
SW SCL      0001-33
SW SCO      1718-43
SW SER      1721-10
SW SEX      1010-02
SW SGE      1949+17B
SW SGR      1913-31
SW UMA      0829+53
SW VEL      0840-47
SW VIR      1308-02
SW VUL      1955+22
SX AND      0127+46
SX AQL      1946+12B
SX BOO      1351+14
SX CAM      0414+68
SX CAR      1042-57
SX CEN      1215-48
SX COL      0628-36
SX CRB      1611+33
SX CYG      2011+30
SX EQU      2054+08
SX ERI      0450-07
SX HER      1603+25
SX LAC      2251+24
SX LEO      1058-02
SX LIB      1437-19A
SX LMI      1049+30
SX LYR      1851+31
SX MON      0646+04
SX PAV      2119-69
SX PEG      2245+17
SX PHE      2341-42
SX SCO      1740-35
SX SGE      1949+18B
SX VEL      0841-46
SX VIR      1331-19
SY AQL      2002+12
SY AUR      0505+42
SY CAR      1111-57
SY CAS      0009+57
SY CEP      2210+62
SY CIR      1355-69
SY CMA      0706-19A
SY CNC      0855+18
SY COM      1205+20
SY CRB      1533+32
SY CVN      1305+47
SY DEL      2028+14
SY DRA      1732+54
SY ERI      0504-05
SY FOR      0249-38
SY GEM      0634+31
SY HER      1657+22
SY HYI      0219-79
SY LYR      1837+28
SY MON      0632-01
SY MUS      1127-64A
SY NOR      1546-54
SY PAV      1743-57
SY PEG      2201+34B
SY PER      0409+50
SY PHE      0126-43
SY SCL      0002-26
SY SCO      1747-34A
SY TAU      0342+23
SY UMA      0949+50
SY VEL      0908-43
SY VIR      1353-04
SY VOL      0853-70
SZ AND      2255+42
SZ AQL      1859+01
SZ AQR      2237-21
SZ ARA      1702-61
SZ AUR      0535+38
SZ CAR      0956-59
SZ CAS      0219+59
SZ CEP      2013+76
SZ CIR      1356-70
SZ CNC      0815+14
SZ CYG      2029+46
SZ DEL      2036+18
SZ DRA      1909+65
SZ LEP      0531-25
SZ LYN      0802+44
SZ LYR      1831+46
SZ MON      0646-01
SZ ORI      0530-05
SZ PEG      2202+34
SZ PER      0340+34
SZ PHE      0129-43
SZ SGR      1739-18
SZ TAU      0431+18
SZ UMA      1114+66
SZ VEL      0946-44
SZ VUL      2032+22
T AND       0017+26
T APS       1346-77
T AQL       1840+08
T AQR       2044-05
T ARA       1654-54
T ARI       0242+17
T AUR       0525+30
T BOO       1409+19
T CAE       0443-36
T CAM       0430+65
T CAP       2116-15
T CAR       1051-59
T CAS       0017+55
T CEN       1336-33
T CEP       2108+68
T CET       0016-20
T CHA       1152-78
T CMA       0717-25
T CMI       0728+11
T CNC       0851+20
T COL       0515-33
T COM       1253+23
T CRA       1855-37B
T CRB       1555+26
T CRT       1118-19
T CRU       1215-61
T CVN       1225+32
T CYG       2043+34
T DEL       2040+16
T DOR       0444-59
T DRA       1754+58A
T EQU       2110+08B
T ERI       0351-24
T FOR       0325-28
T GEM       0743+23
T GRU       2219-38
T HER       1805+31
T HOR       0257-51
T HYA       0850-08
T IND       2113-45
T LEO       1133+03
T LEP       0500-22
T LIB       1505-19
T LMI       0942+33
T LUP       1415-49
T LYN       0816+33
T LYR       1828+36
T MIC       2021-28
T MON       0619+07
T MUS       1313-73
T NOR       1536-54
T OCT       2057-82
T OPH       1628-15
T ORI       0530-05A
T PAV       1939-72
T PEG       2204+12
T PER       0212+58
T PHE       0025-46
T PIC       0512-47
T PSA       2220-29
T PSC       0026+14
T PUP       0744-40
T PYX       0900-31
T RET       0358-55
T SCL       0024-38A
T SCO       1611-22C
T SCT       1850-08
T SER       1823+06
T SGE       1917+17
T SGR       1910-17
T TAU       0416+19
T TRA       1500-68
T TRI       0151+33
T TUC       2234-62
T UMA       1231+60
T UMI       1332+73
T VEL       0834-47
T VIR       1209-05
T VOL       0657-66
T VUL       2047+27
TASV0327+4  0324+44         TASV 0327+44
TASV0358+5  0354+57         TASV 0358+57
TASV0449+4  0445+46         TASV 0449+47
TASV0524+1  0522+15B        TASV 0524+15
TASV0534+1  0531+10B        TASV 0534+10
TASV0722+3  0718+37
TASV1108+5  1105+55         TASV 1108+55
TASV1946+0  1943+00         TASV 1946+00; NSV 24897
TASV2204+5  2203+59         TASV 2204+59
TASV2321+4  2319+46         TASV 2321+46
TASVJ0752+  0747+13         TASV J0752+133; V353 GEM
TASVJ1835+  1831+38F        TASV J1835+383
TASVJ2352+  2347+66         TASV J2352+665
TAU CAS     2342+58
TAU CMA     0714-24
TAU PER     0247+52
TAU1 SER    1521+15         NSV 7074
TAU2        0355+06
TAU3        0453+19         V1208 TAU; RX J0459.7+1926
TAU4 ERI    0315-22
TAU4 SER    1531+15
TAV0008+47  0006+47
TAV0016+41  0013+41
TAV0033+59  0031+59         NSV 15133
TAV0042+53  0039+52
TAV0136+60  0133+60         V770 CAS
TAV0346+38  0343+38B        TAV 0346+38
TAV0451+69  0446+69         CC CAM
TAV0514+53  0506+53         Q1993/086; IRAS 05102+5340
TAV0556+55  0552+55
TAV0559+06  0556+06         TAV 0559+06
TAV0714+14  0711+18         TAV 0714+14
TAV0723-03  0720-02         V686 MON, MCNAUGHT'S STAR
TAV1831+19  1829+18         NSV 24505
TAV1836+11  1833+11         V2303 OPH
TAV1918-04  1915-04
TAV1921+24  1919+24         V335 VUL
TAV1933+53  1931+53
TAV2034+61  2033+61
TAV2230+58  2228+58         V451 CEP
TAV2251+61  2249+60         V386 CEP
TAVJ0218+5  0211+50         V420 AND; TAV J0218+50
TAVJ0550+5  0541+54         TAV J0550+543;V493 AUR
TAVJ0629+2  0623+20         TAV J0629+205
TAVJ2059+2  2055+26         V420 VUL; TAV J2059+264
THETA APS   1355-76
THETA CIR   1448-62
THETA CRB   1544+28C
THETA GEM   0646+34
THETA LYR   1912+37
THETA2 TAU  0423+15
TK4 LYR     1910+40
TK5 LYR     1913+37
TMZ V12     0637+15
TMZ V124    0504+45
TMZ V13     0504-59
TMZ V34     0910+09         GZ CNC; RX J0915.8+0900
TMZ V358    1258+66
TMZ V36     0910+29         HH CNC
TMZ V45     1514+15
TMZ V46     1521+08
TMZ V85     1037+58
TOMBAUGH *  1215-17         TV CRV;VAR CRV
TT AQL      1903+01
TT AQR      2249-09
TT ARI      0201+14
TT BOO      1454+41
TT CAR      1017-61
TT CAS      0004+54
TT CEN      1313-60A
TT CRA      1802-43
TT CRB      1544+28B
TT CRT      1129-11
TT CRV      1218-11
TT CVN      1254+38
TT CYG      1937+32
TT DRA      1711+57
TT IND      2025-56
TT LEO      1110-00
TT MON      0720-05
TT OPH      1644+03
TT PEG      0001+26
TT PER      0144+53
TT PSA      2157-31
TT PSC      0155+05
TT SEX      0941-05
TT SGE      1950+18
TT SGR      1919-20
TT TAU      0445+28
TT UMA      0857+60
TT VUL      2032+25
TU AND      0027+25A
TU AQL      1922+01
TU AUR      0628+45
TU CAP      2008-16
TU CAR      1031-60
TU CAS      0020+50
TU CRT      1058-21
TU CVN      1250+47
TU CYG      1943+48
TU DRA      1848+48
TU GEM      0604+26
TU HYA      0853-00
TU IND      2026-45
TU LAC      2250+36
TU LEO      0924+21A
TU LYR      1816+31
TU MEN      0445-76
TU OPH      1620-22
TU ORI      0530-05
TU PEG      2140+12
TU PHE      2329-55
TU PUP      0813-34
TU SCO      1701-31
TU TAU      0539+24
TU TRI      0133+30
TU VUL      2034+22B
TV AND      2253+42
TV AQL      2007+06
TV AUR      0450+48A
TV BOO      1412+42
TV CAS      0013+58
TV CEN      1209-50
TV CNC      0808+08
TV COL      0525-32
TV COM      1222+19
TV CRV      1215-17         TOMBAUGH *; VAR CRV; - CRV
TV CVN      1310+42
TV CYG      2030+46
TV DEL      2022+12
TV DRA      1707+64
TV GEM      0605+21
TV HER      1810+31
TV HYA      1331-23
TV HYI      0201-78
TV LAC      2251+53
TV LEO      1106-05
TV LYR      1817+30
TV ORI      0530-05
TV PEG      2122+16
TV PER      0237+35
TV PSC      0022+17
TV RET      0434-59
TV SCO      1736-43
TV SGE      1953+17
TV TAU      0402+26B
TV UMA      1140+36
TV VEL      1030-53
TV VIR      1358-09
TW AQL      1946+13
TW AUR      0549+45
TW BOO      1441+41
TW CAM      0412+57
TW CAP      2008-14
TW CEN      1352-30
TW CMA      0717-14
TW CNC      0824+12
TW COM      1213+22
TW CRA      1804-42
TW CRV      1155-18
TW CYG      2101+29
TW DEL      2030+07
TW ERI      0306-24
TW GEM      0701+22C
TW HOR      0310-57
TW HYA      1057-34
TW LYR      1820+39
TW OPH      1723-19
TW PAV      1737-58
TW PEG      2159+27
TW PER      0313+32
TW PIC      0533-58
TW RET      0411-65
TW SCO      1604-22
TW SGE      1954+17
TW SGR      1907-21
TW TRI      0130+31
TW VIR      1140-03
TX AND      0116+38
TX AQL      2001+03
TX AQR      2101-01
TX AUR      0502+38
TX CAM      0452+56
TX CEN      1427-60
TX CEP      2348+75
TX COL      0540-41
TX CRV      1156-11
TX CVN      1239+37
TX CYG      2056+42
TX DEL      2045+03
TX DRA      1633+60
TX LAC      2241+54
TX LEO      1029+09
TX LYR      1813+40
TX MON      0645-01
TX OPH      1659+05
TX PEG      2213+13
TX PER      0241+36
TX PSC      2341+02
TX SCO      1748-34
TX SCT      1823-11
TX SGE      1958+19
TX SGR      1908-17
TX TAU      0402+26A
TX TRI      0132+29
TX UMA      1039+46
TY AND      2310+40
TY AQL      1909-07
TY AUR      0451+48
TY CAR      1048-72
TY CAS      0031+62
TY CEP      2155+86
TY CMA      0613-16
TY CRA      1854-37B
TY CYG      1929+28
TY DRA      1735+57
TY LAC      2203+51
TY LYR      1905+27
TY MON      0651+00
TY OCT      1833-81
TY OPH      1826+04
TY PEG      2324+12
TY PER      0155+57
TY PSA      2244-27         PS 74 PSA
TY PSC      0120+31
TY PUP      0728-20C
TY SCO      1557-23
TY SCT      1836-04B
TY SGE      1959+16
TY SGR      1911-24
TY VIR      1146-05
TY VUL      2037+25
TZ AND      2345+46
TZ CAR      1042-65
TZ CAS      2348+60
TZ CEP      0019+73
TZ CET      0217-10
TZ CNC      0858+21
TZ CRB      1610+34
TZ CYG      1913+50
TZ HER      1631+38
TZ LEO      1118+17
TZ LYR      1812+41
TZ PEG      2104+15
TZ PER      0206+57A
TZ PSC      0117+24
TZ RET      0416-06
TZ SEX      1002+01
TZ TAU      0357+16
TZ TUC      0049-70
TZ UMA      1204+58
TZ VIR      1159+03
TZ VUL      2037+27
U AND       0109+40
U ANT       1030-39
U AQL       1924-07
U AQR       2157-17
U ARA       1745-51
U ARI       0305+14
U AUR       0535+31
U BOO       1449+18
U CAM       0333+62A
U CAP       2042-15
U CAR       1053-59
U CAS       0040+47
U CEN       1228-54
U CEP       0053+81
U CET       0228-13
U CMA       0614-26
U CMI       0735+08
U CNC       0830+19
U CRA       1834-37A
U CRB       1514+32
U CRT       1107-06
U CRU       1226-57
U CRU P     1226-57C
U CRV       1229-17
U CVN       1242+38
U CYG       2016+47
U DEL       2040+17
U DOR       0509-64A
U DRA       1909+67
U ERI       0346-25
U FOR       0340-25
U GEM       0749+22
U HER       1621+19
U HOR       0349-46
U HYA       1032-12
U LAC       2243+54
U LEO       1018+14
U LIB       1536-20A
U LMI       0948+36
U LUP       1554-29
U LYN       0631+59
U LYR       1916+37
U MEN       0418-82
U MIC       2022-40
U MON       0726-09
U MUS       1318-64
U NOR       1534-54
U OCT       1312-83
U OPH       1711+01
U ORI       0549+20A
U PAV       2047-63
U PER       0152+54
U PHE       0030-50
U PSA       2156-28
U PSC       0117+12
U PUP       0756-12
U PYX       0825-30
U SCL       0106-30
U SCO       1616-17
U SER       1602+10
U SGE       1914+19
U SGR       1826-19
U TAU       0416+19C
U TRA       1558-62
U TUC       0054-75
U UMA       1008+60
U UMI       1415+67
U VEL       0929-45
U VIR       1246+06
U VOL       0700-66
U VUL       1932+20
UGC 3223    0453+04
UMA 5       1042+52         CW 1045+525
UMA 6       0925+50
UPS CYG     2113+34
UPS UMA     0943+59
USNO 1425   1924+54
UU AQL      1951-09
UU AQR      2203-04
UU AUR      0629+38
UU CAP      2130-14
UU CAR      0926-73
UU CEN      1315-60
UU CNC      0756+15
UU CRB      1518+31
UU CYG      2135+42
UU DRA      2025+74
UU FOR      0232-27         NSV 878
UU HER      1632+38
UU LYR      1901+27
UU OCT      1948-77
UU PEG      2126+10
UU PYX      0839-32B
UU SEX      1016+04
UU TUC      2215-61
UU VEL      0932-53
UU VUL      2038+20
UV AQL      1854+14
UV AUR      0515+32
UV BOO      1418+26
UV CAM      0357+61
UV CAS      2258+59
UV CET      0134-18
UV CMA      0701-28
UV CNC      0833+21
UV CYG      1928+43
UV DRA      1441+56
UV ERI      0453-06
UV GEM      0632+18
UV HER      1640+12
UV LYR      1906+27A
UV ORI      0549-06
UV PAV      1742-62
UV PEG      2159+35
UV PER      0203+56A
UV SCO      1602-21B
UV SGE      1942+16
UV TUC      2231-65
UW AND      0009+28
UW AQL      1852+00
UW AUR      0650+41
UW CAR      1023-59
UW CAS      0030+57
UW CEN      1237-53
UW CRV      1214-18B
UW DRA      1755+54
UW HER      1710+36
UW LYR      1907+28
UW ORI      0549+20B
UW PEG      2213+02
UW PER      0205+56
UW PIC      0528-46
UW TRI      0239+33
UW VUL      2048+26
UX AND      0227+45
UX ANT      1052-36
UX ARA      1647-51
UX AUR      0508+49
UX CAM      0500+68
UX CAS      0008+62
UX CMI      0740+05
UX CRV      1215-12
UX CYG      2050+30A
UX DRA      1925+76
UX GEM      0640+15
UX LAC      2217+49
UX LYN      0857+39         SAO 61226
UX MON      0754-07
UX OPH      1659-12
UX ORI      0459-03
UX PSC      0106+21B
UX PUP      0739-13
UX SGR      1849-16
UX TAU      0424+18
UX UMA      1332+52
UX VEL      1036-54
UY AND      0232+38A        BD 38 525
UY AUR      0445+30
UY BOO      1353+13
UY CAR      1028-61
UY CEN      1310-44
UY CEP      2105+58
UY CMA      0613-17A
UY CNC      0830+13
UY DRA      1754+58B
UY GEM      0640+13A
UY HER      1629+38
UY MIC      2038-39
UY MON      0653+09
UY OPH      1711+04
UY PSC      0109+06
UY PUP      0741-12
UY TAU      0348+15
UY VUL      2051+26
UZ AND      0110+41A
UZ AUR      0508+40
UZ BOO      1439+22A
UZ BOO?     1439+22B
UZ CAR      1032-60
UZ CEN      1136-62
UZ CEP      2304+70
UZ CET      0201-10
UZ CMA      0614-17A
UZ CRA      1846-38
UZ FOR      0331-26
UZ GEM      0707+17
UZ HER      1726+18
UZ HYA      0911-04
UZ OPH      1717+07
UZ PER      0313+31
UZ SER      1805-14
UZ TAU      0426+25
UZ TRI      0152+33
UZ VEL      1045-54
UZ VUL      2052+23
V AND       0044+35
V ANT       1016-34
V APS       1455-71
V AQL       1859-05
V AQR       2041+02
V ARI       0209+11
V AUR       0616+47
V BOO       1425+39
V CAM       0549+74
V CAP       2101-24
V CAR       0826-59
V CAS       2307+59
V CEN       1425-56
V CEP       2351+82
V CET       2352-09
V CHA       0750-77
V CMI       0701+09
V CNC       0816+17
V CRA       1840-38
V CRB       1546+39
V CRT       1119-16
V CRU       1250-57
V CRV       1235-17A
V CVN       1315+46
V CYG       2038+47
V DEL       2043+18
V DRA       1756+54
V ERI       0359-16
V GEM       0717+13
V HOR       0301-59
V HYA       1046-20
V LAC       2244+55
V LEO       0954+21
V LIB       1434-17
V LYN       0620+61
V LYR       1905+29A
V MIC       2117-41
V MON       0617-02
V NOR       1602-48
V OCT       2158-75
V OPH       1621-12
V ORI       0500+03A
V PAV       1734-57
V PEG       2156+05
V PER       0155+56
V PHE       2327-46
V PIC       0612-59
V PSA       2249-30
V PUP       0755-48
V PYX       0849-34
V SCL       0003-39
V SCT       1842-12
V SGE       2015+20
V SGR       1825-18
V TAU       0446+17
V TRA       1639-67
V UMA       0901+51
V UMI       1336+74
V VIR       1322-02
V VUL       2032+26
V0264 SMC   0039-73         SAND3
V1002 CEN   1413-36
V1006 CYG   1946+56
V1008 HER   1802+31         VAR61 HER
V1010 OPH   1643-15
V1012 SGR   1759-31
V1014 SGR   1800-27
V1015 SGR   1802-32
V1016 CYG   1953+39
V1016 ORI   0530-05
V1016 SGR   1813-25
V1017 SGR   1825-29
V1025 CEN   1232-38         RXJ1238-38
V1026 SCO   1550-21
V1027 CYG   1958+29
V1027 TAU   0440+17
V1028 CYG   1958+56
V1028 TAU   0521+23
V1031 ORI   0542-10
V1032 CYG   2000+57
V1033 CEN   1136-63         RX J1141.3-6410
V1033 SCO   1647-39
V1034 CYG   2001+30
V1035 SCO   1711-34         CPD-34 6800; HEN 3-1368
V1037 SCO   1731-35
V1039 CEN   1348-63         N CEN 01 (2001)
V1043 SCO   1556-25
V1045 ORI   0530-04
V1046 ORI   0530-04
V1050 AQL   1947+10
V1052 SCO   1611-08
V1053 SCO   1614-14
V1056 CYG   2046+36
V1056 ORI   0615+05
V1057 CYG   2055+43
V1057 ORI   0512+13
V1058 AQL   1948+12B
V1058 CYG   2058+34B
V1059 CYG   2100+42
V1059 SGR   1856-13
V1060 CYG   2103+36
V1060 TAU   0444+15
V1061 TAU   0452+24
V1062 CYG   2104+36
V1062 TAU   0456+24
V1063 OPH   1726+10
V1070 CYG   2118+40
V1073 TAU   0425+18C
V1075 SCO   1708-33B        HIP 84401
V1081 CYG   2130+48
V1082 SGR   1901-20
V1082 TAU   0333+18
V1086 ORI   0519+01         NSV 1967
V1086 SCO   1737-32
V1089 CYG   2141+48
V1089 SGR   1903-17
V1093 ORI   0525-00
V1094 TAU   0406+21
V1100 TAU   0415+20
V1101 AQL   2008+15
V1101 ORI   0527-04
V1104 SCO   1659-42         HD 326823
V1105 CYG   1916+29B
V1113 CYG   1920+52
V1114 CYG   1920+28
V1118 ORI   0530-05
V1122 TAU   0328+14
V1123 CYG   1927+49
V1124 TAU   0329+18
V1125 CYG   1928+31
V1128 TAU   0343+12
V1129 TAU   0344+10
V1132 TAU   0353+10
V1134 TAU   0358+25
V1139 TAU   0409+23         NSV 1529
V1141 AQL   1932+02
V1141 SCO   1747-30         N SCO 97
V1142 SCO   1749-31         N SCO 98
V1142 TAU   0417+22         SAO 76588
V1143 ORI   0533-04         SUGANO'S OBJECT
V1146 TAU   0425+14
V1147 CYG   1942+32
V1149 ORI   0536+03
V1149 TAU   0432+18
V1152 CYG   1944+36B
V1154 CYG   1944+42
V1157 SGR   1904-20
V1158 TAU   0508+17
V1159 ORI   0524-03         NSV 2011
V1160 TAU   0524+22
V1161 TAU   0529+18
V1162 AQL   1946-11
V1163 CYG   1951+36B
V1165 CYG   1952+39
V1167 TAU   0547+25
V1169 CYG   1953+39D
V1172 CYG   1954+32B
V1172 SGR   1744-20
V1173 CYG   1957+35
V1175 SGR   1807-31
V1178 SCO   1750-32         VAR SCO 01
V1192 ORI   0454+03
V1193 ORI   0511-00
V1195 OPH   1654-20
V1196 ORI   0526-04
V1197 ORI   0538-01
V1198 ORI   0453+00
V1199 ORI   0506-08B
V1203 TAU   0426+18
V1206 TAU   0440+15
V1208 TAU   0453+19         RX J0459.7+1926; TAU3
V1216 SGR   1843-23
V1223 SGR   1848-31
V1225 CYG   2102+45
V1229 AQL   1919+04
V1235 AQL   1923+02
V1251 CYG   2137+48
V1252 CYG   1948+38E
V1254 CYG   1918+29
V1261 AQL   1929+06
V1261 ORI   0517-08         IRC 10086
V1266 CYG   1934+38
V1271 ORI   0529+09B
V1275 SGR   1752-36
V1276 CYG   1938+29
V1280 SGR   1804-26
V1285 CYG   1941+35
V1286 AQL   1854+13
V1289 AQL   1934+12
V1290 CYG   1943+32B
V1292 AQL   2003+07
V1293 AQL   1928+04
V1294 AQL   1928+03
V1301 AQL   1912+04
V1302 AQL   1922+11
V1303 CYG   1959+37
V1307 ORI   0556+16
V1309 ORI   0510+00
V1315 AQL   1909+12
V1316 CYG   2008+42
V1322 CYG   2020+38
V1329 CYG   2047+35
V1330 AQL   2029+02
V1330 CYG   2048+35
V1331 CYG   2056+49
V1338 CYG   2131+40C
V1339 AQL   1945+07
V1339 CYG   2138+45
V1341 CYG   2140+37
V1341 LMC   0511-71         N2 LMC 1990 = N MEN 1968
V1343 AQL   1906+04
V1351 CYG   1939+55
V1353 CYG   1943+37
V1357 CYG   1954+34         CYG X-1; HD 226868; BD 34 3815
V1358 ORI   0614-03
V1361 ORI   0457+14
V1362 CYG   2000+36B
V1363 AQL   1846-01B
V1363 CYG   2002+33
V1364 AQL   1846-01C
V1364 ORI   0503+14
V1365 ORI   0509-00
V1366 ORI   0511-09
V1367 ORI   0511+04
V1369 ORI   0516+03
V1370 AQL   1918+02
V1370 ORI   0520-02
V1371 ORI   0522+12
V1372 ORI   0523+02
V1373 ORI   0524-06
V1374 ORI   0526+09B
V1375 ORI   0526-03B
V1376 ORI   0529+08         NSV 2258
V1377 CYG   2013+38
V1377 ORI   0530-03C
V1378 AQL   1911+03
V1378 ORI   0532-05
V1379 ORI   0532-00
V1380 ORI   0542+00
V1381 ORI   0549-01
V1382 ORI   0549+13
V1383 ORI   0551-07
V1384 ORI   0551+16
V1385 ORI   0555+19
V1386 ORI   0601+15
V1387 CYG   2023+37
V1387 ORI   0603+17
V1388 ORI   0605+12
V1389 ORI   0607+06
V138OMECEN  1320-46G
V1390 ORI   0608+08
V1391 ORI   0609+17
V1392 ORI   0610+09
V1395 CYG   2048+46B
V1401 AQL   1959-11
V1404 CYG   2153+51
V1407 AQL   1951-11
V1413 AQL   1859+16
V1414 AQL   1929-07
V1419 AQL   1908+01
V1425 AQL   1900-01
V1426 CYG   2130+38
V1430 AQL   1916+04
V1432 AQL   1934-10
V1434 AQL   1842+09
V1435 AQL   1848+09
V1437 AQL   1853-07
V1439 AQL   1856+14
V1440 AQL   1859-07
V1442 AQL   1901+12
V1450 AQL   1912+08
V1454 AQL   1921+03
V1454 CYG   1949+35
V1456 AQL   1923+11
V1457 AQL   1923+09
V1458 AQL   1930+06
V1459 AQL   1934+10
V1465 AQL   1946+06
V1466 AQL   1947+10B
V1469 AQL   1956+09
V1472 AQL   2000+15
V1475 AQL   2007+07
V1478 AQL   2009-00
V1478 CYG   2029+40
V1481 AQL   2012+06
V1485 AQL   1838-03         WR 121; NSV 11276
V1488 CYG   2012+47
V1489 CYG   2042+39
V148OMECEN  1320-46H
V1493 AQL   1903+12         N AQL 99#1
V1494 AQL   1918+04         N AQL 99#2
V1500 CYG   2108+47
V1504 CYG   1925+42
V1505 CYG   1925+28B
V1509 CYG   1947+38C
V1514 CYG   2004+58
V1515 CYG   2020+41
V1525 CYG   2042+53
V1539 AQL   1921+03B
V1548 AQL   1902+11         N AQL 01
V1554 CYG   2111+43
V1566 CYG   2126+43
V1568 CYG   2134+45
V1571 CYG   2138+44
V1573 SGR   1759-27
V1577 SGR   1806-27
V1581 SGR   1808-29C
V1582 SGR   1809-29
V1583 CYG   1958+30
V1583 SGR   1809-23
V1585 SGR   1810-29
